extended_rank	name_short	name	inn	country	profile	in_training	actual_score	actual_rank	predicted_score	score_normalized	F1	F2	F3	F4	F5	F1_normalized	F2_normalized	F3_normalized	F4_normalized	F5_normalized	wos_pubs_per100_2021	rnd_revenue_share	grants_per_100_fac	master_share	foreign_faculty_share	ege_budget	ege_paid	ege_min	vsosh_per100	olymp_per100	foreign_students_noncis_share	foreign_students_share_total	revenue_per_faculty	modern_equipment_share	postgrad_per_100	doct_share
91	Российский Государственный Гуманитарный Университет (Рггу)	Российский государственный гуманитарный университет (РГГУ)	7707033405.0	RU	classical	True	22.09	47.0	22.09	53.85	0.3089803385365407	0.0598981885962752	-0.3462681547958509	-0.2272404282149369	-0.3634062442588838	6.01	8.45	3.77	6.61	4.71	4.39	3.47	1.34	12.53	1.03	85.04	70.02	49.11	0.03	0.18	1.66	7.16	7.98	52.89	1.16	19.87
92	Саратовская Государственная Консерватория Имени Л.В. Собинова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САРАТОВСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ Л.В. СОБИНОВА»	6455008075.0	RU		False			22.07044103186734	53.84	-0.7404721521953695	-0.0192926445489296	0.9316527079719698	-1.303200759394303	0.2313582775842504	3.02	8.37	6.26	5.24	6.04	41.86	5.13	0.0	21.16	0.53	70.28	71.67	73.33	0.0	0.0	12.23	13.55	527.98	67.5	1.7	8.24
93	Сибирский Государственный Медицинский Университет» Министерства Здравоохранения Российской Федерации	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ» МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ	7018013613.0	RU		False			22.009211456972324	53.78	-0.0233175739818323	-0.7453358622464449	0.9116336574337706	0.2876362762995256	1.657113167009706	5.06	7.59	6.22	7.27	9.22	132.33	5.39	0.68	15.27	0.62	77.04	63.36	46.65	0.0	0.1	6.3	23.06	3151.19	54.1	0.23	25.18
94	Санкт-Петербургский Государственный Лесотехнический Университет Имени С.М. Кирова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ ЛЕСОТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ С.М. КИРОВА"""	7802071697.0	RU		False			21.99366777532618	53.77	-0.0097525493508292	-0.5812895197737984	-0.4526457519322838	-1.1999821507052066	-0.4087920616498717	5.1	7.77	3.57	5.37	4.61	576.81	3.77	1.73	7.11	0.36	68.93	30.56	54.16	0.01	0.01	0.58	2.82	1087.44	54.98	0.04	12.17
95	Балтийский Федеральный Университет Имени Иммануила Канта	Балтийский федеральный университет имени Иммануила Канта	3906019856.0	RU	classical	True	21.92	49.0	21.92	53.7	0.350238647863954	-0.7145858209175956	-0.9125965360353115	0.3151474212147163	0.6473647540040945	6.12	7.62	2.67	7.31	6.97	4.09	13.85	2.48	14.84	0.4	75.07	67.84	53.17	0.03	0.07	2.14	12.68	7.62	38.9	2.07	17.42
96	Московский Архитектурный Институт (Государственная Академия)	Московский архитектурный институт (государственная академия)	7702066990.0	RU	creative	True	21.92	48.0	21.92	53.7	-1.6336382622244152	0.196074077587555	0.5840262676486383	-0.5805800706620219	-1.0529665681123048	1.0	8.6	5.59	6.16	3.18	1.76	0.92	0.41	15.8	0.0	84.9	75.03	54.5	0.0	0.0	0.92	3.43	8.24	38.0	1.3	7.37
97	Белорусский Национальный Технический Университет	Белорусский национальный технический университет	5	BY	technical	False			21.84	53.63	0.126	-0.821	0.078	-0.056	-0.134	5.49	7.51	4.6	6.83	5.23																
98	Российская Государственная Академия Интеллектуальной Собственности	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТИ"""	7703108441.0	RU		False			21.707947365000603	53.51	-0.4656647037479093	-0.3672076592924518	-0.8600560632434655	-0.0716407445608543	1.4104618215575562	3.8	7.99	2.77	6.81	8.67	611.94	24.02	0.0	45.97	0.0	83.18	56.04	42.18	0.0	0.0	3.37	10.22	2949.17	65.21	4.6	32.09
99	Российский Институт Театрального Искусства – Гитис	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ИНСТИТУТ ТЕАТРАЛЬНОГО ИСКУССТВА – ГИТИС»	7703022730.0	RU		False			21.70414769162005	53.51	-0.5307965960872109	-0.3110348243822818	-0.3399388801948785	-0.1424342796633877	0.5117167269661695	3.62	8.05	3.79	6.72	6.67	127.69	8.83	1.96	10.61	0.66	76.46	69.33	55.1	0.0	0.0	3.51	6.27	2780.1	0.0	0.31	20.94
100	"Государственное Автономное Образовательное Учреждение Высшего Образования ""Альметьевский Государственный Технологический Университет ""Высшая Школа Нефти"	"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АЛЬМЕТЬЕВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ ""ВЫСШАЯ ШКОЛА НЕФТИ"""	1644005183.0	RU		False			21.667192388540705	53.48	0.2436937606615558	-0.9940187409165524	-0.8232626891822868	0.7596045391536698	0.3158471076954482	5.82	7.33	2.84	7.87	6.23	506.94	55.87	1.46	28.19	0.74	69.67	61.0	54.29	0.0	0.0	0.45	9.35	3912.62	2.87	0.55	11.17
101	Новосибирский Государственный Технический Университет	Новосибирский государственный технический университет	5404105174.0	RU	classical	True	21.66	50.0	21.66	53.47	0.424305932077735	-1.0930205252048957	-1.1201037639733975	-0.6478796075316201	-0.3729824225675599	6.34	7.22	2.27	6.07	4.69	3.8	18.34	1.87	15.35	0.51	69.69	63.57	51.83	0.0	0.02	0.33	16.19	7.34	43.11	1.26	15.65
102	Российский Государственный Университет Нефти И Газа Им. И.М. Губкина	Российский государственный университет нефти и газа им. И.М. Губкина	7736093127.0	RU	technical	True	21.6	51.0	21.6	53.42	0.0875334084344324	-0.2576757894264073	1.0096835693019264	-0.5886905132682863	0.33053946573219	5.38	8.11	6.41	6.15	6.26	3.42	13.24	0.52	19.59	0.15	78.51	65.69	55.84	0.0	0.09	1.26	5.13	8.6	33.41	1.91	18.56
103	"Самарский Государственный Медицинский Университет"" Министерства Здравоохранения Российской Федерации"	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САМАРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"	6317002858.0	RU		False			21.40715841831492	53.25	0.2248336667679251	-1.054880286491727	0.1490362210391941	0.902560703067716	1.5917404645586135	5.77	7.26	4.74	8.06	9.07	125.26	8.77	1.88	17.74	1.88	72.5	59.96	41.74	0.0	0.0	11.14	14.53	4629.61	57.93	0.31	21.57
104	Уральская Государственная Консерватория Имени М.П. Мусоргского	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ М.П. МУСОРГСКОГО"""	6661002537.0	RU		False			21.34633145920424	53.19	-0.849441749753736	0.0072828253133472	1.684067957625501	-1.7836422630348447	-0.0465774754790617	2.71	8.39	7.73	4.62	5.42	51.95	5.67	0.0	24.91	0.0	73.68	73.5	60.89	0.0	0.0	14.92	17.34	448.76	4.53	2.52	3.82
105	"Государственное Бюджетное Образовательное Учреждение Высшего Образования Челябинской Области ""Магнитогорская Государственная Консерватория (Академия) Имени М.И. Глинки"	"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЧЕЛЯБИНСКОЙ ОБЛАСТИ ""МАГНИТОГОРСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ (АКАДЕМИЯ) ИМЕНИ М.И. ГЛИНКИ"""	7446011965.0	RU		False			21.30881469918685	53.16	-0.7317208941125563	0.0596892134255598	0.1993101287760341	-3.144088978941266	-0.2924514713875826	3.04	8.45	4.84	2.88	4.87	72.82	3.25	1.2	14.15	1.03	69.5	78.0	64.66	0.0	0.0	0.36	10.9	119.78	0.0	3.49	3.72
106	Ярославский Государственный Университет Им. П.Г. Демидова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. П.Г. ДЕМИДОВА"""	7604011791.0	RU		False			21.270242171508382	53.13	-0.1697760750173674	-0.4967348702104764	-1.3153665942775918	-1.6130894075797488	-0.0121155258753274	4.64	7.86	1.89	4.84	5.5	299.18	13.28	1.54	18.53	0.19	74.57	64.63	47.45	0.0	0.05	0.22	0.42	749.56	31.53	0.05	18.87
107	Российский Государственный Университет Имени А.Н.Косыгина	Российский государственный университет имени А.Н.Косыгина	7705001020.0	RU	technical	True	21.19	52.0	21.19	53.06	-0.5461425485547702	0.0375782657586986	-0.5565750489238195	-0.3187750113043331	-0.6714393502451097	3.57	8.43	3.36	6.5	4.03	2.95	0.68	0.18	10.03	0.36	79.13	72.6	61.2	0.07	0.2	0.92	7.41	7.79	53.38	1.77	16.37
108	Санкт-Петербургская Академия Художеств Имени Ильи Репина	Санкт-Петербургская академия художеств имени Ильи Репина	7801023965.0	RU	creative	True	21.15	53.0	21.15	53.02	-1.7056073873719606	0.0908515252898138	0.3903770920377825	2.0892954851572667	-0.4134422697214995	1.0	8.48	5.21	9.57	4.6	1.42	3.84	0.0	6.64	0.0	82.7	71.05	64.1	0.0	0.0	3.2	19.42	8.16	16.81	2.01	7.8
109	Гродненский Государственный Университет Имени Янки Купалы	Гродненский государственный университет имени Янки Купалы	6	BY	classical	False			21.11	52.98	0.095	-0.887	0.09	-0.064	-0.137	5.4	7.44	4.62	6.82	5.22																
110	Уфимский Государственный Институт Искусств Имени Загира Исмагилова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УФИМСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ ИМЕНИ ЗАГИРА ИСМАГИЛОВА"""	274038133.0	RU		False			21.0770521078034	52.96	-0.4702055059716487	-0.2087622786079837	-0.5079889152899216	-2.599014248711957	-0.4004886319575044	3.79	8.16	3.46	3.58	4.63	14.12	2.31	2301.74	9.06	0.0	70.05	66.38	63.94	0.0	0.0	0.91	5.12	319.79	32.26	1.03	6.03
111	Ставропольский Государственный Медицинский Университет» Министерства Здравоохранения Российской Федерации	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «СТАВРОПОЛЬСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ» МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ	2633003556.0	RU		False			21.035132517293853	52.92	-0.828910419791515	-0.1251061084730433	0.9285687856655916	-0.8518034105914218	0.9394360959447956	2.77	8.25	6.26	5.81	7.62	75.41	2.97	0.31	20.83	0.0	75.49	78.25	59.67	0.0	0.0	11.39	15.29	1296.45	41.44	0.5	13.72
112	Российский Государственный Педагогический Университет Имени А.И.Герцена	Российский государственный педагогический университет имени А.И.Герцена	7808027849.0	RU	pedagogical	True	20.99	54.0	20.99	52.88	0.1462685810902455	-0.1700761175528528	-0.5716663236915117	1.7273298596117772	0.0873424774724495	5.54	8.2	3.33	9.11	5.72	3.68	5.58	2.1	22.63	0.54	79.47	68.32	55.7	0.0	0.21	2.87	16.08	7.89	42.55	1.93	21.07
113	Гжельский Государственный Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ГЖЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»	5040036468.0	RU		False			20.915902199625314	52.81	-0.1352928385753925	-0.6821908642864742	-0.636803172352187	-0.4881465928544153	0.2513292575953282	4.74	7.66	3.21	6.28	6.08	684.4	1.75	1.41	38.01	2.11	74.59	59.56	56.37	0.0	0.0	1.26	5.77	2975.12	54.78	0.62	16.33
114	Религиозная Организация - Духовная Образовательная Организация Высшего Образования «Новосибирская Православная Духовная Семинария Новосибирской Епархии Русской Православной Церкви	РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НОВОСИБИРСКАЯ ПРАВОСЛАВНАЯ ДУХОВНАЯ СЕМИНАРИЯ НОВОСИБИРСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ»	5448950036.0	RU		False			20.87587408150885	52.78	-0.6104775903845303	-0.425723422268036	-0.7089973180091708	0.9922687093240378	-1.36330721643289	3.39	7.93	3.07	8.17	2.48	83.92	1.04	0.0	0.0	0.0	65.0	72.3	55.0	0.0	0.0	0.0	2.44	1701.07	42.2	0.0	3.85
115	Саратовский Государственный Медицинский Университет Имени В.И. Разумовского» Министерства Здравоохранения Российской Федерации	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САРАТОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ В.И. РАЗУМОВСКОГО» МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ	6452006471.0	RU		False			20.85492632427248	52.76	-0.247310000643074	-0.7781093398871147	0.5954350662463687	1.131766111389375	1.377985745551649	4.42	7.56	5.61	8.35	8.6	353.74	1.49	0.1	12.1	0.52	77.19	61.86	45.39	0.0	0.0	12.81	15.02	5792.21	42.2	0.18	18.65
116	"Негосударственное Образовательное Учреждение Высшего Профессионального Образования ""Санкт-Петербургский Гуманитарный Университет Профсоюзов"	"НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГУМАНИТАРНЫЙ УНИВЕРСИТЕТ ПРОФСОЮЗОВ"""	7816002340.0	RU		False			20.841278760208443	52.75	-0.970668851880292	-0.0932080593969039	-1.201071204958272	0.4079772173068629	-0.6044888705228071	2.36	8.29	2.11	7.42	4.18	83.07	4.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	2823.69	0.0	0.0	12.12
117	Национальный Исследовательский Университет «Миэт	Национальный исследовательский университет «МИЭТ»	7735041133.0	RU	technical	True	20.83	55.0	20.83	52.74	0.2842449031577232	-0.4184161202326591	0.5464236682901494	-0.6077218633443009	0.0856298139685299	5.94	7.94	5.51	6.13	5.71	3.35	15.2	2.17	19.23	0.82	77.77	64.29	50.22	0.0	0.12	0.79	4.1	8.25	30.12	1.54	15.75
118	Рязанский Государственный Медицинский Университет Имени Академика И.П.Павлова	Рязанский государственный медицинский университет имени академика И.П.Павлова	6228013199.0	RU	medical	True	20.79	56.0	20.79	52.7	-1.051546831385158	-0.9201002475657032	-0.0458357361458029	1.06984367954137	1.3410683046568763	2.13	7.4	4.36	8.27	8.51	2.45	5.16	0.65	0.75	0.26	77.26	66.61	49.2	0.0	0.0	2.83	19.52	7.67	47.43	3.07	13.68
119	Самарский Национальный Исследовательский Университет Имени Академика С. П. Королева	Самарский национальный исследовательский университет имени академика С. П. Королева	6316000632.0	RU	classical	True	20.79	57.0	20.79	52.7	0.5546563606701645	-0.6736109649998265	-1.3421771204151969	-0.2797041860674049	-0.1510252037032434	6.71	7.67	1.83	6.55	5.19	3.88	19.03	2.2	14.77	0.9	73.45	68.64	48.45	0.0	0.05	1.2	4.32	7.22	27.83	1.8	17.85
120	Федеральное Государственное Бюджетное Образовательное Учреждение Инклюзивного Высшего Образования «Российский Государственный Университет Социальных Технологий	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ИНКЛЮЗИВНОГО ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ СОЦИАЛЬНЫХ ТЕХНОЛОГИЙ»	7718109215.0	RU		False			20.622332592234617	52.55	-0.4888702780185012	-0.3323920243752854	-0.3771638589327231	-1.7526792422322246	0.0952638697912823	3.74	8.03	3.71	4.66	5.74	178.41	0.99	0.0	24.08	1.82	75.54	63.2	60.36	0.0	0.0	2.8	7.21	569.56	13.93	0.4	12.15
121	Северо-Западный Государственный Медицинский Университет Имени И.И.Мечникова	Северо-Западный государственный медицинский университет имени И.И.Мечникова	7842461679.0	RU	medical	True	20.62	58.0	20.62	52.55	-0.71942130504893	0.2099471020612382	1.4906087490312454	-0.2433181613764729	2.287434594101882	3.08	8.61	7.35	6.59	10.0	3.27	2.9	0.77	0.43	0.25	88.29	70.38	55.55	0.0	0.15	1.71	10.2	8.56	42.04	3.59	23.96
122	Южно-Уральский Государственный Университет	Южно-Уральский государственный университет	7453019764.0	RU	classical	True	20.52	59.0	20.52	52.46	1.1287086404791284	-1.221531013686319	-1.1177125130389405	0.3150895339246912	-0.4550694776664117	8.34	7.08	2.27	7.31	4.51	4.25	21.24	1.74	13.86	1.32	67.11	61.2	45.5	0.0	0.04	1.72	8.79	7.36	17.84	1.37	14.4
123	"Санкт-Петербургский Государственный Педиатрический Медицинский Университет"" Министерства Здравоохранения Российской Федерации"	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДИАТРИЧЕСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"	7802010020.0	RU		False			20.49678320868857	52.44	-0.0307046361664086	-0.994507231768871	1.8203307143846912	0.8236561481364386	1.919379744559668	5.04	7.32	7.99	7.96	9.8	486.84	3.24	0.16	16.68	0.23	84.95	67.61	52.66	0.08	0.06	8.38	19.3	5658.51	42.68	0.3	19.25
124	Уральский Государственный Архитектурно-Художественный Университет Имени Н.С. Алфёрова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ АРХИТЕКТУРНО-ХУДОЖЕСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ Н.С. АЛФЁРОВА»	6660009018.0	RU		False			20.411176336013696	52.37	-0.6796765808171678	-0.3162938183482766	-1.623512817858479	-0.1818061817486226	-0.5966870352311227	3.19	8.05	1.28	6.67	4.19	214.44	5.1	0.0	10.71	0.0	77.57	67.98	51.44	0.0	0.0	0.06	1.28	1820.81	51.15	0.11	1.57
125	Московский Педагогический Государственный Университет	Московский педагогический государственный университет	7704077771.0	RU	pedagogical	True	20.41	60.0	20.41	52.36	-0.6375078348648221	-0.227310879748748	-0.3512134858030762	1.0270010291030782	-0.2535944855186355	3.31	8.14	3.76	8.22	4.96	2.52	5.76	0.0	18.46	0.49	80.03	66.74	58.92	0.0	0.02	2.46	9.74	8.15	41.45	1.76	19.08
126	Башкирский Государственный Медицинский Университет	Башкирский государственный медицинский университет	274023088.0	RU	medical	True	20.39	61.0	20.39	52.35	-0.4592693234257931	-0.7995456082493545	1.5553539672082108	2.005296893013493	2.044664863381276	3.82	7.53	7.48	9.47	10.0	2.68	7.1	0.76	0.89	1.15	77.64	68.79	50.51	0.0	0.01	3.57	42.71	8.96	56.66	3.33	25.87
127	"Государственное Автономное Образовательное Учреждение Высшего Образования Города Москвы ""Московский Государственный Университет Спорта И Туризма"	"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ СПОРТА И ТУРИЗМА"""	7712037162.0	RU		False			20.311662207799458	52.28	-0.3767903499459457	-0.6280210779704083	-0.6988087420838862	0.1902380272854712	0.4923620108259499	4.05	7.72	3.09	7.15	6.62	480.33	6.95	0.0	22.55	0.0	71.09	57.95	55.14	0.0	0.0	2.77	3.55	4708.81	47.79	0.7	23.25
128	Казанский Национальный Исследовательский Технологический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «КАЗАНСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ»	1655018804.0	RU		False			20.30805430777106	52.27	0.3495931738478039	-1.1855259746727929	0.2320056543250047	-0.1181564395437711	-0.0607138424751177	6.12	7.12	4.9	6.75	5.39	280.53	0.31	1.89	21.7	0.0	65.96	0.0	48.8	0.0	0.0	0.0	0.44	2672.13	25.98	0.0	6.99
129	Российский Государственный Гидрометеорологический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ГИДРОМЕТЕОРОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ»	7806012117.0	RU		False			20.2617857824076	52.23	-0.2019073877918149	-0.6316954534006802	0.2112010591402087	-1.5512206377146582	0.0597841662729579	4.55	7.71	4.86	4.92	5.66	371.64	5.39	0.0	7.03	0.17	70.65	64.55	60.84	0.0	0.0	1.56	5.4	1768.65	11.94	0.07	17.02
130	Казанский Государственный Медицинский Университет	Казанский государственный медицинский университет	1655007760.0	RU	medical	True	20.21	62.0	20.21	52.19	-0.6084528729981865	-0.3894701058912498	-0.2931402060920261	2.012213554823813	2.066197219409561	3.39	7.97	3.88	9.48	10.0	3.36	5.74	1.28	0.57	0.0	81.4	74.19	52.31	0.02	0.05	3.41	33.23	7.71	10.93	2.88	22.85
131	Московская Высшая Школа Социальных И Экономических Наук	Московская высшая школа социальных и экономических наук	7729459892.0	RU	econ_mgmt	True	20.16	63.0	20.16	52.14	-0.3629216889360408	1.3743553571947966	0.5923478997505329	-1.9671340437381648	-1.2237505930524597	4.09	9.85	5.6	4.39	2.79	3.56	6.9	0.0	16.34	0.0	94.7	81.16	72.16	0.0	0.0	0.13	1.14	8.09	100.0	0.0	17.76
132	Пермский Государственный Национальный Исследовательский Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ПЕРМСКИЙ ГОСУДАРСТВЕННЫЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ"""	5903003330.0	RU		False			20.092684512265983	52.08	0.1180927793913595	-0.9501568887147304	-0.2090387500813877	-0.952793422253828	0.1217919127668503	5.46	7.37	4.04	5.68	5.8	464.62	7.43	1.68	9.28	0.26	63.5	32.57	50.36	0.0	0.02	1.76	4.42	1202.1	13.72	0.03	8.86
133	Российский Государственный Аграрный Университет — Мсха Имени К.А.Тимирязева	Российский государственный аграрный университет — МСХА имени К.А.Тимирязева	7713080682.0	RU	agri_bio	True	20.01	64.0	20.01	52.01	0.2468951998515484	-0.9937034713718884	-0.2631813162195089	-0.2489848223129296	-0.0334880288968151	5.83	7.33	3.93	6.58	5.45	3.0	15.84	0.75	17.93	0.62	69.11	60.68	57.56	0.04	0.0	1.46	4.59	7.96	48.48	1.69	23.04
134	Московский Государственный Академический Художественный Институт Имени В.И.Сурикова	Московский государственный академический художественный институт имени В.И.Сурикова	7709057391.0	RU	creative	True	20.01	65.0	20.01	52.01	-2.1786123651112868	0.3090691744574959	-0.0129508447701676	1.8133668140454096	-1.0885017601633091	1.0	8.72	4.42	9.22	3.1	0.0	0.0	0.0	4.29	0.0	88.85	72.99	45.78	0.0	0.0	2.89	17.38	7.61	55.84	1.61	3.7
135	Московский Политехнический Университет	Московский политехнический университет	7719455553.0	RU	technical	True	19.94	66.0	19.94	51.95	-0.2127332403893088	-0.6936085008917388	-0.9164488885161276	-0.0806471197980194	-0.6589077618880583	4.52	7.65	2.66	6.8	4.05	3.18	16.5	0.85	10.19	0.74	74.79	67.31	51.96	0.0	0.2	1.07	10.5	7.57	71.44	1.21	10.46
